kural_id,ilgili_pozisyonlar,kural_metni
GYK-1,TUM,"1. Bölüm, fasıl ve tali fasıl başlıkları sadece gösterici niteliktedir; yasal amaçlar için eşyanın tarifedeki yerinin saptanması, pozisyon metinlerine, ilgili herhangi bir bölüm veya fasıl notuna ve bu pozisyonlar veya notlar hükümlerinde aksi belirtilmedikçe, aşağıdaki kurallara göre yapılır."
GYK-2,TUM,"2. (a) Tarifenin belirli bir pozisyonunda herhangi bir eşyaya yapılan bir atıf, bu eşyanın imali bitirilmemiş veya aksamı tamamlanmamış olanlarını da kapsar. Şu kadar ki, bu gibi imali bitirilmemiş veya aksamı tamamlanmamış eşyanın gümrüğe sunulduğunda, imali bitirilmiş veya aksamı tamamlanmış eşyanın ayırdedici niteliğini içermesi gerekir. Böyle bir atıf, imali bitirilmiş veya aksamı tamamlanmış eşya ile, yukarıdaki hükme göre böyle sayılan eşyanın sökülerek veya monte edilmeden getirilmiş olanlarını da içine alır. (b) Tarifenin belirli bir pozisyonunda herhangi bir maddeye yapılan atıf, bu maddenin karışımlarını, bileşimlerini ve diğer maddelerle birleştirilmiş veya karıştırılmış hallerini de içine alır. Aynı şekilde, belirli bir maddeden mamul bir eşyaya yapılan herhangi bir atıf, tamamen veya kısmen bu maddeden mamul eşyayı da içine alır. Birden fazla maddeden meydana gelen eşyanın tarifedeki yeri, aşağıda (3) numaralı kuralda belirtilen prensiplere göre saptanır."
GYK-3,TUM,"3. (2-b) Numaralı kuralın uygulanması nedeniyle veya başka herhangi bir nedenle eşyanın ilk bakışta iki veya daha fazla pozisyonda sınıflandırılabilmesi halinde o eşyanın tarifedeki yerinin saptanması aşağıdaki şekilde yapılır: (a) Eşyayı en özel şekilde tanımlayan pozisyon, daha genel şekilde tanımlayan pozisyona göre öncelik alır. Bununla beraber, iki veya daha fazla pozisyonun her birinin, birbirleriyle karıştırılmış veya birleştirilmiş eşyanın sadece birine ya da perakende satılacak hale getirilmiş takımın sadece bir parçasına atıfta bulunması halinde, bu pozisyonların, pozisyonların birisi eşyanın tam ve kesin tanımını verse bile, sözkonusu eşyayı eşit derecede özel şekilde tanımladığı mütaala edilir. b) (3-a) Kuralının uygulanmasıyla, tarifedeki yeri tayin edilemeyen bileşik ürünlerin ve çeşitli maddelerden oluşan veya çeşitli eşyanın birleşmesiyle meydana gelen mamuller ile perakende satılacak hale getirilmiş takım halinde bulunan eşyanın tarifedeki yeri, bunlara esas niteliğini veren madde veya eşya saptanabildiği takdirde buna göre bulunur. (c) (3-a) veya (3-b) kuralları uyarınca tarifedeki yeri saptanamayan eşya, her biri geçerli olabilecek pozisyonların numara sırasına göre sonuncusunda mütalaa edilecektir."
GYK-4,TUM,"4. Yukarıdaki Kurallara uygun olarak sınıflandırılmayan eşya, bu eşyaya en çok benzeyen eşyanın bulunduğu pozisyonda sınıflandırılır."
GYK-5,TUM,"5. Yukarıda belirtilen hükümlere ilaveten, aşağıdaki eşya konusunda şu kurallar uygulanır: (a) Fotoğraf makinası mahfazası, müzik aleti mahfazası, silah mahfazası, çizim aleti kutuları, kolye kutuları ve benzeri kutular, özellikle belli bir eşyaya veya takım halindeki eşyaya göre şekil verilmiş veya bu eşyaya uygun olarak yapılmış olup uzun süre kullanılmaya uygun ve ait oldukları eşya ile birlikte ithal edilen kutular, normal olarak bu eşya ile birlikte satılan türde iseler, beraber satıldıkları eşya ile birlikte sınıflandırılırlar. Ancak bu Kural, bir bütün olarak esas niteliği mahfaza olan eşyaya uygulanmaz. (b) Yukarıda 5 (a) kuralındaki hükümler saklı kalmak şartıyla, içindeki eşya ile birlikte sunulan ambalaj maddeleri ve ambalaj mahfazaları bu eşyanın ambalajında normal olarak kullanılan türden ambalaj maddeleri olmaları şartıyla bu eşya ile beraber sınıflandırılırlar. Bununla beraber, bu tür ambalaj maddeleri veya ambalaj mahfazalarının, sürekli kullanıma elverişli olduklarının açıkça belli olması halinde bu hüküm uygulanmaz."
GYK-6,TUM,"6. Yasal amaçlar için, eşyanın bir pozisyonun alt pozisyonlarında sınıflandırılması, sadece aynı seviyedeki alt pozisyonların mukayese edilebilirliği dikkate alınarak, bu alt pozisyonlardaki şartlar ile bu pozisyonla ilgili alt pozisyon notlarına ve gerekli değişiklikler yapılmış olarak, yukarıdaki kurallara göre saptanacaktır. Metinde aksi belirtilmedikçe bu kuralın tatbikinde, ilgili Bölüm ve Fasıl Notları da, uygulanır."
FASIL90-NOT1B,"6307,9021","Gumruk Tarife Cetveli Izahnamesi 90. Fasil 1(b) notuna gore, yalnizca tekstil malzemesinin esnekligiyle destek saglayan (hareketi tam kisitlayici sert/ayarlanabilir bir bileseni bulunmayan) esya 90. fasil kapsami disinda kalir; bu durumda 63.07 pozisyonunda (diger hazir tekstil esyasi) siniflandirilir. Hareketi tam kisitlayan, tibbi cihaz niteliginde sert/ayarlanabilir bilesenli urunler ise 90.21 (ortopedik cihazlar) pozisyonuna girer."
POZ-6307,6307,"63.07 pozisyonu, Bolum XI'in (tekstil ve tekstil esyasi) diger fasillarinda veya Tarife Cetveli'nin baska bir yerinde daha spesifik olarak tanimlanmayan hazir tekstil esyasini kapsayan bir 'diger' (catch-all) pozisyondur."
POZ-6210,6210,"62.10 pozisyonu, 56.02, 56.03, 59.03, 59.06 veya 59.07 pozisyonlu mensucattan (kece, dokunmamis mensucat, plastik/kaucuk emprenyeli-sivanmis-kaplanmis mensucat vb.) yapilmis, ozellikle koruyucu amacli (su gecirmez, kimyasal koruyucu vb.) giyim esyasini kapsar."
POZ-6212,6212,"62.12 pozisyonu sutyen, korse, korsole, pantolon askisi, jartiyer, corap bagi ve benzeri esya ile bunlarin aksamini kapsar."
POZ-6113,6113,"61.13 pozisyonu, 59.03, 59.06 veya 59.07 pozisyonlu orme mensucattan (plastik/kaucuk emprenyeli, sivanmis veya kaplanmis) yapilmis giyim esyasini kapsar."
POZ-6406,6406,"64.06 pozisyonu ayakkabi aksamini (yuzler dahil), degistirilebilir ic tabanlari, topuk astarlarini ve benzeri esyayi; getr, tozluk ve benzeri esya ile aksamini kapsar."
