gtip_pozisyon,aciklama,fasil
610120100000,"Erkekler ve erkek çocuklar için paltolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya (örme veya kroşe) (61.03 pozisyonundakiler hariç) / Pamuktan / Paltolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610120900000,"Erkekler ve erkek çocuklar için paltolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya (örme veya kroşe) (61.03 pozisyonundakiler hariç) / Pamuktan / Anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya",61
610130100000,"Erkekler ve erkek çocuklar için paltolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya (örme veya kroşe) (61.03 pozisyonundakiler hariç) / Sentetik veya suni liflerden / Paltolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610130900000,"Erkekler ve erkek çocuklar için paltolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya (örme veya kroşe) (61.03 pozisyonundakiler hariç) / Sentetik veya suni liflerden / Anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya",61
610190200000,"Erkekler ve erkek çocuklar için paltolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya (örme veya kroşe) (61.03 pozisyonundakiler hariç) / Dokumaya elverişli diğer maddelerden / Paltolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610190800000,"Erkekler ve erkek çocuklar için paltolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya (örme veya kroşe) (61.03 pozisyonundakiler hariç) / Dokumaya elverişli diğer maddelerden / Anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya",61
610210100000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Yünden veya ince hayvan kıllarından / Mantolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610210900000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Yünden veya ince hayvan kıllarından / Anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya",61
610220100000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Pamuktan / Mantolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610220900000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Pamuktan / Anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya",61
610230100000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Sentetik veya suni liflerden / Mantolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610230900000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Sentetik veya suni liflerden / Anoraklar (kayak ceketi dahil), rüzgarlıklar ve benzeri eşya",61
610290100000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Dokumaya elverişli diğer maddelerden / Mantolar, kabanlar, kolsuz ceketler, pelerinler ve benzeri eşya",61
610290900000,"Kadınlar ve kız çocuklar için mantolar, kabanlar, kolsuz ceketler, pelerinler, anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya (örme ve kroşe) (61.04 pozisyonundakiler hariç) / Dokumaya elverişli diğer maddelerden / Anoraklar (kayak ceketleri dahil), rüzgarlıklar ve benzeri eşya",61
610310100000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Yünden veya ince hayvan kıllarından",61
610310900000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Diğerleri",61
610322000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Pamuktan",61
610323000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Sentetik liflerden",61
610329000011,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / Suni liflerden",61
610329000012,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / İpek veya ipek döküntülerinden",61
610329000013,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / Yünden veya ince hayvan kıllarından",61
610329000018,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / Diğerleri",61
610331000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Yünden veya ince hayvan kıllarından",61
