btb_no,gtip_no,gecerlilik_baslangic_tarihi,siniflandirma_gerekcesi,esya_tanimi
TR340000250155,621290000019,20/08/2025,"Genel Yorum Kuralları 1 ve 6. Maddeleri, 62.12 ve 90.21 tarife pozisyonu açıklama notları, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6), Tarife-Sınıflandırma Kararları (Seri No: 20), İstanbul Laboratuvar Müdürlüğünün 22.11.2024/3424BTB2483 tarih/sayılı Analiz Raporu, Gümrükler Genel Müdürlüğünün 28.02.2025/106758781 tarih/sayılı yazısı","OTTOBOCK MARKA 50R232 SMARTSPINE LSO HIGH MODEL, ÖRME KISMI POLYESTERDEN MAMUL OLAN, ÖN,ARKA VE YAN TARAFINDA YUMUŞAK PEDLER BULUNAN, BEL BÖLGESİNDE KULLANILAN, ÜZERİNDE HAREKETİ SINIRLAYICI HERHANGİ PARÇANIN MEVCUT OLMADIĞI, HASARLI/KUSURLU BÖLGENİN İSTENMEYEN HAREKETİNİ TAMAMEN ENGELLEMEYEN, EŞYANIN DESTEK İŞLEVİNİN YALNIZCA ÜRÜN BÜNYESİNDE Kİ PEDLERİN ESNEKLİĞİNDEN KAYNAKLANDIĞI VE EŞYANIN ÖRME MENSUCATTAN MAMUL KISMININ VE PEDLERİN EŞYANIN NİCELİĞİNDE BELİRLEYİCİ OLDUĞU HAZIR ORTEZ"
TR350000230018,621050000019,29/03/2023,"Türk Gümrük Tarife Cetveli İzahnamesinin 62 Fasıl Notları, 6210 tarife pozisyonu açıklama notları ile Tarife Yorumu ile İlgili Genel Kurallar","KM-CW-001 Model Numaralı, 0,35 mm. kalınlığında, tek parçadan oluşan kalça dahil vücudun alt kısmını kaplayan, dışı dokunmuş mensucattan, içi PVC'den mamul, su geçirmez, balıkçılık, avcılık vb. işlerde kullanılan koruyucu kıyafet (chest wader without boot)"
TR340000190262,621133100012,05/12/2019,"GENEL YORUM KURALLARI (1) VE (6) TGTC 62. FASIL AÇIKLAMA NOTLARI. G.G.T SERİ NO:15, İSTANBUL LABORATUVAR MÜDÜRLÜĞÜNÜN 3419BTB0951 SAYILI ANALİZ RAPORU.","YOĞUN X IŞININA MARUZ KALINAN ALANLARDA TERCİH EDİLEN, KULLANICIYA MAKSİMUM GÜVENLİK SAĞLAYAN, 3 PARÇADAN OLUŞAN, DOKUNMUŞ POLYESTER İÇ TABAKASINDA KURŞUN İÇEREN ERKEK İÇİN MESLEKİ KORUYUCU KIYAFET."
TR340000250230,611610800000,31/12/2025,"[merged] ANALİZ RAPORUNA GÖRE EŞYANIN AVUÇ İÇİ ÖRME, DIŞ KISMININ İSE BİR TARAFI GÖZENEKSİZ PLASTİK (POLİÜRETAN, PU) KAPLI VASIFSIZ MENSUCATTAN (59.03 TARİFE POZİSYONLU) MAMUL OUTSHOCK MARKA 5057059 İTEM VE 8851681 MODEL NUMARALI BOKS ELDİVENİ TİCARİ TANIMIYLA PAZARLANAN EŞYA","[merged] ANALİZ RAPORUNA GÖRE EŞYANIN AVUÇ İÇİ ÖRME, DIŞ KISMININ İSE BİR TARAFI GÖZENEKSİZ PLASTİK (POLİÜRETAN, PU) KAPLI VASIFSIZ MENSUCATTAN (59.03 TARİFE POZİSYONLU) MAMUL OUTSHOCK MARKA 5057059 İTEM VE 8851681 MODEL NUMARALI BOKS ELDİVENİ TİCARİ TANIMIYLA PAZARLANAN EŞYA"
TR340000250035,611300900000,27/01/2025,"GENEL YORUM KURALLARI 1 VE 6. MADDELERİ, 61.13 TARİFE POZİSYONU AÇIKLAMA NOTLARI, İSTANBUL LABORATUVAR MÜDÜRLÜĞÜNÜN 20.12.2024/3424BTB2867 TARİH/SAYILI ANALİZ RAPORU","LTB MARKA, 44087 ARTİKEL NUMARALI, %100 PU BAYAN CEKET TİCARİ TANIMLI, ANALİZ RAPORUNA GÖRE; 292 G/M2 AĞIRLIĞINDA BİR YÜZÜ GÖZENEKLİ PLASTİK (POLİÜRETAN) İLE SIVANMIŞ KAPLANMIŞ 59.03 TARİFE POZİSYONUNDA SINIFLANDIRILAN MENSUCATTAN MAMUL GİYİM EŞYASI"
TR340000260036,630790980019,30/03/2026,"Gümrük Tarife Cetveli İzahnamesi 6307 Tarife Pozisyonu Açıklama Notları, Genel Yorum Kuralları 1 ve 6, İstanbul Laboratuvar Müdürlüğünce tanzimli 13.03.2026 tarihli 3426BTB0405 sayılı Analiz ve 3426GÖR052 sayılı Görüş Raporu, Gümrükler Genel Müdürlüğünün 14.11.2019 tarihli ve 49452007 sayılı yazısı","PUMA HTL T-44798ESP/SILICONTEAM1 TİCARİ TANIMLI, PLASTİK KAPLI DOKUMA MENSUCATTAN MAMUL, BÜNYESİNDE HERHANGİ BİR YAPIŞKAN TABAKA VEYA KAĞIT MESNET İÇERMEYEN, YUVARLAK ŞEKİLLİ, ÜZERİNDE BASKI YÖNTEMİYLE OLUŞTURULMUŞ TAKIM LOGOSU BULUNAN, ESNEK YAPIDA, ISI UYGULANARAK TEKSTİL YÜZEYİNE KALICI ŞEKİLDE UYGULANMAK ÜZERE HAZIRLANMIŞ ETİKET"
TR340000250228,630790980019,31/12/2025,"Genel Yorum Kurallarının 1ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.06 ve 63.07 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 11.09.2025/3425BTB2432 tarih/sayılı analiz ve 19.09.2025/3425GÖR136 tarih/sayılı görüş raporu","ANALİZ VE GÖRÜŞ RAPORUNA GÖRE 300 CM ÇAPINDA ALTIGEN FORMUNDA %100 POLYESTER DOKUNMUŞ MENSUCATTAN MAMUL ŞEMSİYENİN ÜST BEZ KISMINDAN (ÖRTÜSÜNDEN) İBARET OLAN; METAL DİREK, İSKELET VEYA AÇILIR KAPANIR MEKANİZMASI GİBİ PARÇALARI OLMAYAN, TDK'YA GÖRE TENTE TİCARİ TANIMINA UYMAYAN, 10532022 KODLU LINDÖJA ŞEMSİYE TENTESİ 300 CM AÇIK GRİ-BEJ TİCARİ TANIMIYLA PAZARLANAN EŞYA"
TR340000250221,630790980019,31/12/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.07 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 03.11.2025/ 3425BTB3056 tarih/sayılı Analiz Raporu","ANALİZ RAPORUNA GÖRE KARTON İSKELET ÜZERİNE POLİPROPİLENDEN MAMUL, DOKUNMAMIŞ MENSUCATTAN 29X29X14 CM (1 ADET), 28X28X14 CM (1 ADET), 14X14X14 CM (2 ADET) BOYUTLARINDA 4 ADET EŞYADAN OLUŞAN 02344 KODLU ÇEKMECE DÜZENLEYİCİ ORGANİZER TİCARİ TANIMLI EŞYA"
TR340000250220,630790980019,31/12/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.07 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 03.11.2025/ 3425BTB3054 tarih/sayılı Analiz Raporu","ANALİZ RAPORUNA GÖRE KARTON İSKELET ÜZERİNE POLİPROPİLENDEN MAMUL, DOKUNMAMIŞ MENSUCATTAN 50X40X30 CM BOYUTLARINDA EŞYADAN OLUŞAN 07189 KODLU ORGANİZER TİCARİ TANIMLI EŞYA"
TR340000250205,630790980019,28/11/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.07 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 03.11.2025/ 3425BTB3053 tarih/sayılı Analiz Raporu","9945 KODLU, ANALİZ RAPORUNA GÖRE KARTON İSKELET ÜZERİNE POLİPROPİLENDEN MAMUL, DOKUNMAMIŞ MENSUCATTAN OLUŞAN, 50X40X19 CM BOYUTLARINDA ORGANİZER TİCARİ TANIMLI EŞYA"
